Date,Open,Close,High,Low,Volume,Supply,Exchange
15-Dec-21,$11.50 ,$11.48 ,$11.50 ,$11.48 ,"$2,766.68 ","7,023,964",INX Securities
16-Dec-21,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
17-Dec-21,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
18-Dec-21,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
19-Dec-21,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
20-Dec-21,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
21-Dec-21,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
22-Dec-21,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$45.92 ,"7,023,964",INX Securities
23-Dec-21,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
24-Dec-21,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
25-Dec-21,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
26-Dec-21,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
27-Dec-21,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
28-Dec-21,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
29-Dec-21,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
30-Dec-21,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
31-Dec-21,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
1-Jan-22,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
2-Jan-22,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
3-Jan-22,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
