Date,Open,Close,High,Low,Volume,MarketCap,Supply,Exchange
"Dec 5, 2021",$10.50,$10.50,$10.50,$10.50,$0.00,"$73,751,622.00","7,023,964",Securitize Markets
"Dec 6, 2021",$10.50,$10.50,$10.50,$10.50,$0.00,"$73,751,622.00","7,023,964",Securitize Markets
"Dec 7, 2021",$10.50,$11.99,$11.99,$10.50,$11.99,"$84,217,328.36","7,023,964",Securitize Markets
"Dec 8, 2021",$11.99,$11.99,$11.99,$11.99,"$3,597.00","$84,217,328.36","7,023,964",Securitize Markets
"Dec 9, 2021",$11.99,$11.00,$11.99,$11.00,$363.00,"$77,263,604.00","7,023,964",Securitize Markets
"Dec 10, 2021",$11.00,$11.00,$11.00,$11.00,$0.00,"$77,263,604.00","7,023,964",Securitize Markets
"Dec 11, 2021",$11.00,$11.00,$11.00,$11.00,$0.00,"$77,263,604.00","7,023,964",Securitize Markets
"Dec 12, 2021",$11.00,$11.00,$11.00,$11.00,$0.00,"$77,263,604.00","7,023,964",Securitize Markets
"Dec 13, 2021",$11.00,$11.98,$11.98,$11.00,$119.80,"$84,147,088.72","7,023,964",Securitize Markets
"Dec 14, 2021",$11.98,$11.50,$11.98,$11.50,$115.00,"$80,775,586.00","7,023,964",Securitize Markets
"Dec 15, 2021",$11.50,$7.00,$11.50,$7.00,"$35,070.00","$49,167,748.00","7,023,964",Securitize Markets
"Dec 16, 2021",$7.00,$7.70,$7.70,$7.00,"$38,500.00","$54,084,522.80","7,023,964",Securitize Markets
"Dec 17, 2021",$7.70,$8.40,$8.40,$7.70,$420.00,"$59,001,297.60","7,023,964",Securitize Markets
"Dec 18, 2021",$8.40,$8.40,$8.40,$8.40,$0.00,"$59,001,297.60","7,023,964",Securitize Markets
"Dec 19, 2021",$8.40,$8.40,$8.40,$8.40,$0.00,"$59,001,297.60","7,023,964",Securitize Markets
"Dec 20, 2021",$8.40,$8.40,$8.40,$8.40,$0.00,"$59,001,297.60","7,023,964",Securitize Markets
"Dec 21, 2021",$8.40,$7.77,$8.40,$7.77,"$1,926.96","$54,576,200.28","7,023,964",Securitize Markets
"Dec 22, 2021",$7.77,$6.90,$7.77,$6.90,"$21,141.60","$48,465,351.60","7,023,964",Securitize Markets
"Dec 23, 2021",$6.90,$6.90,$6.90,$6.90,"$15,421.50","$48,465,351.60","7,023,964",Securitize Markets
"Dec 24, 2021",$6.90,$6.90,$6.90,$6.90,$0.00,"$48,465,351.60","7,023,964",Securitize Markets
"Dec 25, 2021",$6.90,$6.90,$6.90,$6.90,$0.00,"$48,465,351.60","7,023,964",Securitize Markets
"Dec 26, 2021",$6.90,$6.90,$6.90,$6.90,$0.00,"$48,465,351.60","7,023,964",Securitize Markets
"Dec 27, 2021",$6.90,$7.70,$7.70,$6.90,"$54,638.64","$54,084,522.80","7,023,964",Securitize Markets
"Dec 28, 2021",$7.70,$10.50,$10.50,$7.70,"$3,916.50","$73,751,622.00","7,023,964",Securitize Markets
"Dec 29, 2021",$10.50,$11.50,$11.50,$10.50,"$19,918.00","$80,775,586.00","7,023,964",Securitize Markets
"Dec 30, 2021",$11.50,$11.50,$11.50,$11.50,$0.00,"$80,775,586.00","7,023,964",Securitize Markets
"Dec 31, 2021",$11.50,$10.70,$11.50,$10.70,"$6,858.70","$75,156,414.80","7,023,964",Securitize Markets
"Jan 1, 2022",$10.70,$10.70,$10.70,$10.70,$0.00,"$75,156,414.80","7,023,964",Securitize Markets
"Jan 2, 2022",$10.70,$10.70,$10.70,$10.70,$0.00,"$75,156,414.80","7,023,964",Securitize Markets
"Jan 3, 2022",$10.70,$10.70,$10.70,$10.70,$0.00,"$75,156,414.80","7,023,964",Securitize Markets
"Jan 4, 2022",$10.70,$10.70,$10.70,$10.70,$0.00,"$75,156,414.80","7,023,964",Securitize Markets
"Jan 5, 2022",$10.70,$11.50,$11.50,$10.70,"$14,398.00","$80,775,586.00","7,023,964",Securitize Markets
"Jan 6, 2022",$11.50,$11.97,$11.97,$11.50,"$9,408.42","$84,076,849.08","7,023,964",Securitize Markets
"Jan 7, 2022",$11.97,$11.98,$11.98,$11.97,$59.90,"$84,147,088.72","7,023,964",Securitize Markets
"Jan 8, 2022",$11.98,$11.98,$11.98,$11.98,$0.00,"$84,147,088.72","7,023,964",Securitize Markets
"Jan 9, 2022",$11.98,$11.98,$11.98,$11.98,$0.00,"$84,147,088.72","7,023,964",Securitize Markets
"Jan 10, 2022",$11.98,$11.80,$11.98,$11.80,$483.80,"$82,882,775.20","7,023,964",Securitize Markets
"Jan 11, 2022",$11.80,$11.00,$11.80,$11.00,"$1,496.00","$77,263,604.00","7,023,964",Securitize Markets
"Jan 12, 2022",$11.00,$10.00,$11.00,$10.00,"$7,640.00","$70,239,640.00","7,023,964",Securitize Markets
"Jan 13, 2022",$10.00,$10.00,$10.00,$10.00,$0.00,"$70,239,640.00","7,023,964",Securitize Markets
"Jan 14, 2022",$10.00,$12.00,$12.00,$10.00,"$5,928.00","$84,287,568.00","7,023,964",Securitize Markets
"Jan 15, 2022",$12.00,$12.00,$12.00,$12.00,$0.00,"$84,287,568.00","7,023,964",Securitize Markets
"Jan 16, 2022",$12.00,$12.00,$12.00,$12.00,$0.00,"$84,287,568.00","7,023,964",Securitize Markets
"Jan 17, 2022",$12.00,$12.00,$12.00,$12.00,$0.00,"$84,287,568.00","7,023,964",Securitize Markets
"Jan 18, 2022",$12.00,$12.00,$12.00,$12.00,$0.00,"$84,287,568.00","7,023,964",Securitize Markets
"Jan 19, 2022",$12.00,$12.00,$12.00,$12.00,$0.00,"$84,287,568.00","7,023,964",Securitize Markets
"Jan 20, 2022",$12.00,$12.00,$12.00,$12.00,$0.00,"$84,287,568.00","7,023,964",Securitize Markets
"Jan 21, 2022",$12.00,$12.00,$12.00,$12.00,$0.00,"$84,287,568.00","7,023,964",Securitize Markets
"Jan 22, 2022",$12.00,$12.00,$12.00,$12.00,$0.00,"$84,287,568.00","7,023,964",Securitize Markets
"Jan 23, 2022",$12.00,$12.00,$12.00,$12.00,$0.00,"$84,287,568.00","7,023,964",Securitize Markets
"Jan 24, 2022",$12.00,$11.99,$12.00,$11.99,"$12,961.19","$84,217,328.36","7,023,964",Securitize Markets
"Jan 25, 2022",$11.99,$11.80,$11.99,$11.80,$23.60,"$82,882,775.20","7,023,964",Securitize Markets
"Jan 26, 2022",$11.80,$11.48,$11.80,$11.48,$574.00,"$80,635,106.72","7,023,964",Securitize Markets
"Jan 27, 2022",$11.48,$11.48,$11.48,$11.48,$0.00,"$80,635,106.72","7,023,964",Securitize Markets
"Jan 28, 2022",$11.48,$11.48,$11.48,$11.48,$0.00,"$80,635,106.72","7,023,964",Securitize Markets
"Jan 29, 2022",$11.48,$11.48,$11.48,$11.48,$0.00,"$80,635,106.72","7,023,964",Securitize Markets
"Jan 30, 2022",$11.48,$11.48,$11.48,$11.48,$0.00,"$80,635,106.72","7,023,964",Securitize Markets
"Jan 31, 2022",$11.48,$12.00,$12.00,$11.48,"$25,836.00","$84,287,568.00","7,023,964",Securitize Markets
"Feb 1, 2022",$12.00,$12.00,$12.00,$12.00,$0.00,"$84,287,568.00","7,023,964",Securitize Markets
"Feb 2, 2022",$12.00,$10.00,$12.00,$10.00,"$8,300.00","$70,239,640.00","7,023,964",Securitize Markets
"Feb 3, 2022",$10.00,$11.99,$11.99,$10.00,$83.93,"$84,217,328.36","7,023,964",Securitize Markets
"Feb 4, 2022",$11.99,$11.00,$11.99,$11.00,"$3,707.00","$77,263,604.00","7,023,964",Securitize Markets
"Feb 5, 2022",$11.00,$11.00,$11.00,$11.00,$0.00,"$77,263,604.00","7,023,964",Securitize Markets
"Feb 6, 2022",$11.00,$11.00,$11.00,$11.00,$0.00,"$77,263,604.00","7,023,964",Securitize Markets
"Feb 7, 2022",$11.00,$11.00,$11.00,$11.00,$0.00,"$77,263,604.00","7,023,964",Securitize Markets
"Feb 8, 2022",$11.00,$14.00,$14.00,$11.00,"$8,316.00","$98,335,496.00","7,023,964",Securitize Markets
"Feb 9, 2022",$14.00,$13.50,$14.00,$13.50,$40.50,"$94,823,514.00","7,023,964",Securitize Markets
"Feb 10, 2022",$13.50,$13.50,$13.50,$13.50,$0.00,"$94,823,514.00","7,023,964",Securitize Markets
